date,buy_price,sell_price
2011-10-12,43800,44100
2011-10-13,43850,44150
2011-10-14,43950,44150
2011-10-15,44050,44250
2011-10-16,44050,44250
2011-10-17,44200,44400
2011-10-18,43700,43900
2011-10-19,43300,43500
2011-10-20,42800,43100
2011-10-21,43200,43500
2011-10-22,43800,44050
2011-10-23,43800,44050
2011-10-24,43800,44100
2011-10-25,43800,44050
2011-10-26,44600,44900
2011-10-27,44650,44900
2011-10-28,44950,45250
2011-10-29,45000,45300
2011-10-30,45000,45300
2011-10-31,44550,44850
2011-11-01,44650,44850
2011-11-02,45000,45200
2011-11-03,44950,45200
2011-11-04,45400,45700
2011-11-05,45300,45600
2011-11-06,45300,45600
2011-11-07,45600,45850
2011-11-08,46350,46550
2011-11-09,46350,46550
2011-11-10,46100,46300
2011-11-11,45950,46150
2011-11-12,46250,46450
2011-11-13,46250,46450
2011-11-14,46400,46600
2011-11-15,46100,46300
2011-11-16,46150,46350
2011-11-17,46080,46280
2011-11-18,45750,45950
2011-11-19,45750,45950
2011-11-20,45750,45950
2011-11-21,45550,45750
2011-11-22,44150,44550
2011-11-23,44450,44750
2011-11-24,44250,44550
2011-11-25,44250,44450
2011-11-26,44400,44600
2011-11-27,44400,44600
2011-11-28,44870,45020
2011-11-29,44700,44850
2011-11-30,44550,44750
2011-12-01,45150,45350
2011-12-02,45080,45280
2011-12-03,45070,45270
2011-12-04,45070,45270
2011-12-05,45050,45200
2011-12-06,44500,44750
2011-12-07,44760,44960
2011-12-08,44890,45090
2011-12-09,44570,44820
2011-12-10,44650,44850
2011-12-11,44650,44850
2011-12-12,44350,44600
2011-12-13,43900,44150
2011-12-14,43790,44040
2011-12-15,43000,43400
2011-12-16,43350,43750
2011-12-17,43600,44000
2011-12-18,43600,44000
2011-12-19,43350,43750
2011-12-20,43100,43500
2011-12-21,43150,43550
2011-12-22,43050,43450
2011-12-23,43150,43550
2011-12-24,43150,43550
2011-12-25,43150,43550
2011-12-26,43100,43500
2011-12-27,42900,43300
2011-12-28,42350,42750
2011-12-29,41620,42120
2011-12-30,40800,41800
2011-12-31,40800,41800
2012-01-01,40800,41800
2012-01-02,40800,41800
2012-01-03,43200,43500
2012-01-04,43300,43600
2012-01-05,43300,43600
2012-01-06,43200,43500
2012-01-07,43200,43500
2012-01-08,43200,43500
2012-01-09,43050,43350
2012-01-10,43000,43300
2012-01-11,43300,43600
2012-01-12,43550,43850
2012-01-13,43450,43750
2012-01-14,43400,43700
2012-01-15,43400,43700
2012-01-16,43200,43500
2012-01-17,43650,43950
2012-01-18,43550,43850
2012-01-19,43800,44100
2012-01-20,44250,44550
2012-01-21,44600,44800
2012-01-22,44600,44800
2012-01-23,44600,44800
2012-01-24,44600,44800
2012-01-25,44600,44800
2012-01-26,44600,44800
2012-01-27,44600,44800
2012-01-28,44600,44800
2012-01-29,44600,44800
2012-01-30,44700,45000
2012-01-31,45030,45330
2012-02-01,45100,45400
2012-02-02,45130,45430
2012-02-03,45100,45400
2012-02-04,44650,44950
2012-02-05,44650,44950
2012-02-06,44550,44850
2012-02-07,44700,44900
2012-02-08,44850,45050
2012-02-09,44580,44880
2012-02-10,44450,44750
2012-02-11,44530,44830
2012-02-12,44530,44830
2012-02-13,44620,44820
2012-02-14,44500,44700
2012-02-15,44600,44800
2012-02-16,44480,44680
2012-02-17,44550,44750
2012-02-18,44500,44700
2012-02-19,44500,44700
2012-02-20,44550,44750
2012-02-21,44600,44800
2012-02-22,44700,44900
2012-02-23,45000,45200
2012-02-24,45090,45240
2012-02-25,44980,45130
2012-02-26,44980,45130
2012-02-27,44930,45130
2012-02-28,44900,45050
2012-02-29,45120,45270
2012-03-01,44640,44790
2012-03-02,44600,44750
2012-03-03,44500,44700
2012-03-04,44500,44700
2012-03-05,44480,44630
2012-03-06,44430,44580
2012-03-07,44180,44380
2012-03-08,44440,44640
2012-03-09,44490,44690
2012-03-10,44650,44800
2012-03-11,44650,44800
2012-03-12,44560,44760
2012-03-13,44610,44710
2012-03-14,44340,44490
2012-03-15,43930,44180
2012-03-16,44020,44270
2012-03-17,44070,44320
2012-03-18,44070,44320
2012-03-19,43890,44140
2012-03-20,43500,43700
2012-03-21,43600,43800
2012-03-22,43550,43750
2012-03-23,43680,43880
2012-03-24,43850,44050
2012-03-25,43850,44050
2012-03-26,43850,44050
2012-03-27,44230,44380
2012-03-28,44070,44220
2012-03-29,43780,43930
2012-03-30,43850,44000
2012-03-31,43850,44000
2012-04-01,43850,44000
2012-04-02,43850,44000
2012-04-03,43760,43960
2012-04-04,43450,43650
2012-04-05,43400,43600
2012-04-06,43340,43540
2012-04-07,43320,43520
2012-04-08,43320,43520
2012-04-09,43300,43500
2012-04-10,43200,43400
2012-04-11,43210,43410
2012-04-12,43140,43340
2012-04-13,43180,43380
2012-04-14,43120,43320
2012-04-15,43120,43320
2012-04-16,42800,43000
2012-04-17,42700,42900
2012-04-18,42610,42810
2012-04-19,42400,42600
2012-04-20,42380,42580
2012-04-21,42460,42660
2012-04-22,42460,42660
2012-04-23,42500,42700
2012-04-24,42590,42790
2012-04-25,42760,42960
2012-04-26,42770,42970
2012-04-27,42750,42950
2012-04-28,42800,43000
2012-04-29,42800,43000
2012-04-30,42800,43000
2012-05-01,42800,43000
2012-05-02,42680,42880
2012-05-03,42400,42600
2012-05-04,42200,42400
2012-05-05,42380,42580
2012-05-06,42380,42580
2012-05-07,42230,42430
2012-05-08,41570,41920
2012-05-09,41270,41420
2012-05-10,41620,41770
2012-05-11,41600,41750
2012-05-12,41590,41740
2012-05-13,41590,41740
2012-05-14,41310,41460
2012-05-15,41150,41300
2012-05-16,40780,40980
2012-05-17,40950,41150
2012-05-18,41750,41950
2012-05-19,41900,42100
2012-05-20,41900,42100
2012-05-21,42000,42200
2012-05-22,41550,41750
2012-05-23,41160,41360
2012-05-24,41160,41360
2012-05-25,41250,41450
2012-05-26,41450,41650
2012-05-27,41450,41650
2012-05-28,41400,41600
2012-05-29,41350,41550
2012-05-30,41080,41280
2012-05-31,41260,41460
2012-06-01,41130,41330
2012-06-02,41800,42100
2012-06-03,41800,42100
2012-06-04,41860,42060
2012-06-05,41970,42170
2012-06-06,42420,42620
2012-06-07,42210,42410
2012-06-08,41560,41860
2012-06-09,41800,42000
2012-06-10,41800,42000
2012-06-11,41780,41980
2012-06-12,41700,41900
2012-06-13,41920,42120
2012-06-14,42010,42210
2012-06-15,42050,42250
2012-06-16,42080,42280
2012-06-17,42080,42280
2012-06-18,42040,42240
2012-06-19,42100,42300
2012-06-20,42050,42200
2012-06-21,41890,42040
2012-06-22,41670,41820
2012-06-23,41680,41830
2012-06-24,41680,41830
2012-06-25,41600,41750
2012-06-26,41680,41830
2012-06-27,41540,41690
2012-06-28,41560,41710
2012-06-29,41570,41720
2012-06-30,41780,41930
2012-07-01,41780,41930
2012-07-02,41800,41950
2012-07-03,41890,42040
2012-07-04,41970,42120
2012-07-05,41920,42070
