date,buy_price,sell_price
2017-04-09,36390,36580
2017-04-10,36440,36630
2017-04-11,36440,36620
2017-04-12,36540,36720
2017-04-13,36680,36870
2017-04-14,36980,37230
2017-04-15,37050,37400
2017-04-16,37050,37400
2017-04-17,36690,36950
2017-04-18,36670,36900
2017-04-19,36570,36800
2017-04-20,36570,36780
2017-04-21,36600,36800
2017-04-22,36670,36910
2017-04-23,36670,36910
2017-04-24,36600,36790
2017-04-25,36540,36730
2017-04-26,36540,36730
2017-04-27,36540,36730
2017-04-28,36630,36830
2017-04-29,36680,36890
2017-04-30,36680,36890
2017-05-01,36680,36890
2017-05-02,36680,36890
2017-05-03,36540,36720
2017-05-04,36320,36540
2017-05-05,36400,36600
2017-05-06,36430,36640
2017-05-07,36430,36640
2017-05-08,36440,36630
2017-05-09,36430,36620
2017-05-10,36360,36560
2017-05-11,36340,36530
2017-05-12,36400,36600
2017-05-13,36420,36620
2017-05-14,36420,36620
2017-05-15,36430,36620
2017-05-16,36410,36600
2017-05-17,36430,36630
2017-05-18,36500,36700
2017-05-19,36410,36600
2017-05-20,36430,36630
2017-05-21,36430,36630
2017-05-22,36420,36610
2017-05-23,36390,36580
2017-05-24,36330,36520
2017-05-25,36340,36530
2017-05-26,36370,36570
2017-05-27,36400,36600
2017-05-28,36400,36600
2017-05-29,36380,36570
2017-05-30,36330,36530
2017-05-31,36180,36380
2017-06-01,36230,36430
2017-06-02,36210,36410
2017-06-03,36350,36550
2017-06-04,36350,36550
2017-06-05,36320,36520
2017-06-06,36370,36570
2017-06-07,36350,36540
2017-06-08,36350,36540
2017-06-09,36260,36450
2017-06-10,36240,36440
2017-06-11,36240,36440
2017-06-12,36230,36430
2017-06-13,36200,36400
2017-06-14,36220,36410
2017-06-15,36240,36430
2017-06-16,36160,36350
2017-06-17,36170,36370
2017-06-18,36170,36370
2017-06-19,36160,36350
2017-06-20,36130,36330
2017-06-21,36140,36320
2017-06-22,36180,36370
2017-06-23,36270,36470
2017-06-24,36270,36470
2017-06-25,36270,36470
2017-06-26,36150,36340
2017-06-27,36180,36370
2017-06-28,36200,36390
2017-06-29,36160,36350
2017-06-30,36170,36360
2017-07-01,36190,36380
2017-07-02,36190,36380
2017-07-03,36140,36320
2017-07-04,36060,36250
2017-07-05,36100,36290
2017-07-06,36100,36290
2017-07-07,36100,36270
2017-07-08,36060,36250
2017-07-09,36060,36250
2017-07-10,36060,36220
2017-07-11,36080,36260
2017-07-12,36140,36320
2017-07-13,36180,36350
2017-07-14,36150,36330
2017-07-15,36200,36390
2017-07-16,36200,36390
2017-07-17,36220,36410
2017-07-18,36220,36410
2017-07-19,36210,36390
2017-07-20,36180,36360
2017-07-21,36220,36400
2017-07-22,36250,36450
2017-07-23,36250,36450
2017-07-24,36200,36380
2017-07-25,36160,36340
2017-07-26,36070,36250
2017-07-27,36180,36360
2017-07-28,36140,36320
2017-07-29,36180,36360
2017-07-30,36180,36360
